1851_recid,JR_1861_recid,PLD_1861_recid
13477006,14971565,14965295
13159062,14584075,14550896
11292429,12296822,12296471
11422676,12435298,12435024
11457715,12488647,12460552
12322562,13566517,13570029
12337173,13606592,13584498
1429736,1487294,1524219
9984625,10887554,19581722
13294870,14759743,14756543
9946479,10850862,10890976
13870390,15413506,15851203
1389809,1487827,1525805
1403105,1492368,1484841
1390068,1519712,1518626
13263904,14722489,14721650
1419479,1526322,1514411
9950418,10852777,10850665
14315518,15861873,15431287
1361038,1532198,1459344
1449814,1543431,1568540
1477917,1557919,1468856
13925807,15499516,15498608
14590133,2828482,16199344
13292873,14758822,14752843
13945189,15514630,15513811
11450179,3532460,12480636
13448649,14928235,14921429
1410038,3722652,1483858
5512342,6053522,6055177
5510613,6054276,6053157
14260899,15443297,15442010
6370982,6913600,4023370
6389372,6934366,6929904
13470763,14958208,14954741
8946332,9641663,9635780
9989019,10743099,10863919
13425390,14877383,13697029
9948482,10848585,10848227
9964742,10863875,10901036
9966773,10867056,10865619
9959894,10870446,10876873
14034454,15614895,15503667
9929410,10885864,10829935
9995265,10890306,10902592
9987394,10891570,10863769
9963693,10892949,10863309
14164841,15746774,15746532
13459740,14912186,14917319
13469984,14985677,14963074
9963488,10898899,10894729
9995110,10899694,10864800
9980604,10899788,10899277
9948962,10903567,10883555
12577723,14310596,13557405
13352385,14841734,14833451
11466732,12483283,12469281
11368467,12377811,12374555
13196182,14634501,14623714
13319929,14794380,14792004
11388319,12395986,12416793
13870965,15884801,15415606
11384939,12399052,12382338
11387254,12402945,12392587
13260233,14728061,13723012
7796471,8379886,8384578
12221584,13378087,13377812
13298151,14755639,14336375
11405374,12417663,12408072
14372899,15942978,15570095
11444924,12456092,12443353
11454547,12462978,12464824
11459994,12467647,12467497
11447885,12468803,12462733
13340818,14835545,14833115
13251719,14700862,14696400
13264825,14726418,14717964
12520192,13786300,13564960
12534271,13781076,13721257
13964805,15526287,15525426
13338881,14811267,13790215
11460844,12472171,12471058
11458069,12474961,12443615
13412960,14886061,14774947
13567310,15111908,15115960
11469746,12481428,12462132
11471791,12489174,12478667
13767099,15296268,15295121
11449304,12610505,12465835
13317291,12642487,14788262
12221222,13378658,13378418
13857535,15376974,15376871
12260181,13463700,13456210
13488405,14984639,14903853
12273009,13486094,13483216
12544466,13789146,13784475
12260079,13487163,13427732
13927018,15501325,14832424
11387058,12405136,12391675
13518893,14976394,15001328
12469582,13717686,13597421
11116973,12116347,12116346
13472719,14981805,14954989
12170644,13546374,13324317
13349116,14838506,14836988
12496926,13741323,13718515
13166623,14593987,14590362
13857346,15376882,15375850
13104113,14503571,14466347
13381750,14778370,14864146
13482680,14979050,14906260
13892269,15435017,15418040
9925246,10832301,10826349
12254093,13443019,13458521
14564144,16168556,16145237
13263911,14722476,14722609
13185700,14613595,13915190
12338259,13586105,13585128
12288610,13501731,13503260
12484480,13728824,13716891
12339668,13587541,13585443
14397191,15978091,15954752
14244563,15823163,15654113
12359236,13609898,13425618
12346489,13595521,13594738
14400087,16166085,16139835
11332084,12340284,12334295
6365801,6908149,6907212
13467037,14775245,14952186
13131515,14575601,15484665
13146411,14572060,14535092
13996065,15564977,15550555
11326832,12334190,12309258
13457441,14938956,14899463
5995010,6550418,6549024
13572891,15125039,15181447
14152281,15733542,15645312
14143562,15728875,15728486
12359178,13610257,13609765
12377710,13642886,13634364
11309670,12327297,12313074
12310615,13555018,13552994
14368738,15975925,14376030
12456689,13699227,13699207
11462004,12472964,12663292
13899917,15458616,15466138
11591971,12616341,12613724
12531750,13782796,14691371
14395969,15976674,15973405
13251357,14701768,14685276
13438104,14900771,14916517
13068292,13876953,14039147
13317637,14799462,14803777
13871529,15415184,15412774
14726372,16372071,16373684
13377019,14867334,14864030
11367050,12374081,12383861
14619206,14082532,16247801
13133388,14578775,14572634
14267814,15924007,15923640
9993789,15279309,10868459
13317390,14799104,14809644
14733095,16367466,16581825
13910491,15484227,14507586
13861331,15404995,14788732
12559303,13807614,13743890
13618086,15135855,13260788
13143567,14561466,14872627
6129154,14707828,6672090
13456048,14892033,16302002
13139126,14537697,14575308
12218424,13382096,13381125
13001337,14409663,14401448
12328909,13575043,13562995
14216251,15455354,15457917
13969394,15538000,15537733
13154257,14580774,14480922
13156037,14584304,14585386
12535856,13789641,13728216
12563344,13810631,13810381
13090979,14494746,12319567
13537923,15044589,15040713
13849067,15388021,15387867
13272011,14733695,14660217
14063511,15647883,15560807
13146665,14571819,14571500
11478315,12465345,12466774
12534244,13782870,13758500
13238420,14683361,14629716
13987545,15556200,15996060
17192224,19241782,18703481
14037467,15619301,15616431
9992148,10899032,1369003
9969993,10868524,10826537
13470261,14957298,14952982
14038887,15620537,15616586
13991838,15561565,15561348
13968475,15536476,15536464
13846539,15393509,15393416
5522672,6065122,6064940
13336571,14824024,14827082
13355256,14841889,14841870
13915487,15488869,14563792
16238553,18223191,18223557
9987657,10889503,10870344
13353469,14788476,14789208
13887830,15407371,15295277
13914557,15487772,14474361
13847418,15392978,15391770
13424862,14927543,14942511
13505258,15006751,14304696
13916981,15491181,14553679
13532236,15036519,15036205
12358969,13608223,13611971
14745217,16068085,11406929
5425536,5949363,5795123
13604231,14890448,15107230
12254638,13456229,13438120
14034852,15503963,15617362
11404885,14428396,12414103
12555135,13807439,13810295
13441643,14924898,14916391
11386168,12381889,12342132
13482587,14978668,14805424
13428734,14893303,15077544
14396396,15980090,15978921
12533613,13785612,13712736
13430621,14920645,14943822
12220085,13380931,13380919
13770770,15301418,15301417
9483564,10276975,10276371
13473892,14975102,14968566
9943712,10843732,10841385
13900678,15463641,15465035
13451444,14497922,14927583
13435314,14937194,14943053
7911247,8501765,8499887
13621187,15138361,15138218
13756549,15284372,15284231
13474226,14971142,14979895
13630149,15093404,15148014
13734900,15263358,15262719
12529896,13781432,13768203
13429772,14941713,14891312
13991243,15564646,15560659
13476738,14979151,14914161
13886828,15429535,15425500
14577126,15949121,15948719
9953692,10900871,10854427
9993902,10894686,10884986
14372260,15943477,15935588
11591462,12616684,12616531
13143333,14562812,14510537
13413209,14905542,14997209
14348520,16370972,15894522
12963921,14591807,14369938
13442906,14918711,14897212
13926560,15500308,15498706
9948468,10902343,10899565
13630310,15149998,15148584
14110538,15692365,15690950
13877259,15287237,15421105
14046155,15628724,15629140
13291052,14758210,14761070
12383739,13639176,13639077
12458647,13647862,13678474
13355079,14843711,14843181
13333045,14799986,14789766
11391835,12423644,14410454
13430160,14915795,14903772
14732963,16373143,16363019
13116887,14541858,14528162
12365258,13617739,13640426
13851906,15390546,15390355
14397321,15976654,15976208
9482757,10276622,10277787
9033167,9731805,9731168
12414212,13701735,13655631
12468198,14234517,13709898
13327519,14781336,14796615
11390554,12401683,12400237
6367819,6911867,6910964
14594181,16213147,16213798
13347209,14836819,14836662
14362426,15932400,15930641
9935735,10836634,10830373
13898307,15465292,15458618
13750818,15279833,15277609
10191696,11118710,11116733
11377308,12411449,12371786
12549371,13802519,13794289
14568594,16174276,16173434
13978035,15547000,15538956
11399555,14400016,12405664
13461405,14912470,14892597
14369389,15939924,15939599
13446886,14928759,14893632
14366881,15945882,15938600
9958866,10898905,10894459
12519328,13738886,14750486
13459672,14942252,14892394
13971708,15540613,15540554
13983913,15553959,15549033
13741836,15269867,15269114
11590617,12613096,12609009
13450018,14924531,14922527
12811086,14193971,14191361
13407425,14877542,14877074
12692645,12416333,14140238
11368042,13786224,12383194
12458970,13702331,13644848
9967805,10869124,10886631
11385390,12399499,12397654
13925319,15499218,15498546
13462647,14960172,14761871
12379440,13632522,13632492
13145067,14562786,14571008
14400761,15975753,15955059
13519822,15025183,15017010
12986703,14358207,14355188
13539196,15075601,15056814
13448067,14932854,14918682
1474592,1550319,1514171
7978222,8734983,8570082
13073698,14475659,14380794
16402517,18393435,18392351
13606089,15093913,15118835
13570809,15094290,15048914
13457553,14993656,14901045
11293525,12296161,12295139
9985216,10885620,10862868
9939178,10839371,10840041
5455977,5978090,5978047
10199052,11120274,11120990
13306805,14763082,14761857
12221312,13378741,13378242
10215237,11131365,11136764
13440993,14915770,14915490
13262705,14724085,14723099
12359894,13610186,13605830
13360685,14849780,14848712
9984210,10887112,10870861
10193271,11118616,11116323
11350413,14391844,12358056
13231810,14675009,14674942
13022399,14431413,14430915
12269659,13473236,13472536
13221984,14663125,14650989
13460503,14966624,14939651
13502557,15002101,15002072
11392089,12425437,12403101
13441370,13630606,14893208
14008169,15599660,15591370
13178177,14606256,14672318
13446112,14942335,14894629
13582620,15109121,15057571
